SpielTyp;Spielstatus;Bezeichnung;Spielnummer;TagKurz;Spieldatum;Spielzeit;Teamname A;TeamLiga A;Vereinsnummer A;Teamname B;TeamLiga B;Vereinsnummer B;Spielort;Sportanlage;Ort;Wettspielfeld;
"Cup";"";"Berner Cup - Runde  1";"510429";"So";"09.08.2026";"11:00";"C.F. España";"4.";"10336";"FC Pieterlen";"3.";"10222";"Weissenstein, Bern - Fussballfeld Weissenstein 3";"Weissenstein";"Bern";"Fussballfeld Weissenstein 3";
"Cup";"";"Berner Cup - Senioren 30+ - Runde  1";"510317";"Fr";"14.08.2026";"20:00";"Team Region Gantrisch (FC Rüschegg) a";"Sen.30+";"10396";"C.F. España / Italiana";"Sen.30+";"10336";"Pöschen, Schwarzenburg - Hauptplatz";"Pöschen";"Schwarzenburg";"Hauptplatz";
"Turnier Junior*innen E-F-G / Brack play more football";"";"Jun.E Stärkeklasse 3";"802625";"Sa";"15.08.2026";"09:30";"Organisator: FC Ostermundigen";"";"";"Teams: FC Ostermundigen c, FC Bethlehem BE weiss 2, C.F. España, FC Prishtina Bern b1, FC Prishtina Bern b2, SC Wohlensee b1, FC Bethlehem BE weiss 1";"";"";"Oberfeld, Ostermundigen - Hauptplatz";"Oberfeld";"Ostermundigen";"Hauptplatz";
"Turnier Junior*innen E-F-G / Brack play more football";"";"Jun.F Stärkeklasse 3";"802930";"Sa";"15.08.2026";"10:00";"Organisator: C.F. España";"";"";"Teams: C.F. España a1, C.F. España a2, FC Stettlen 08 rot, FC Bern 1894 d, SC Ittigen c";"";"";"Weissenstein, Bern - Fussballfeld Weissenstein 3";"Weissenstein";"Bern";"Fussballfeld Weissenstein 3";
"Meisterschaft";"";"5. Liga / Gruppe  3";"128429";"Sa";"15.08.2026";"16:30";"FC Ticino Bern";"5.";"10325";"C.F. España";"5.";"10336";"Bodenweid, Bern - Kunstrasenfeld Bodenweid 3";"Bodenweid";"Bern";"Kunstrasenfeld Bodenweid 3";
"Meisterschaft";"";"4. Liga / Gruppe  3";"126055";"Sa";"15.08.2026";"19:15";"FC Schwarzenburg";"4.";"10322";"C.F. España";"4.";"10336";"Pöschen, Schwarzenburg - Hauptplatz";"Pöschen";"Schwarzenburg";"Hauptplatz";
"Meisterschaft";"";"Senioren 30+ / MFV / Gruppe  3";"127259";"Mo";"17.08.2026";"19:30";"C.F. España / Italiana";"Sen.30+";"10336";"SC Holligen 94";"Sen.30+";"10318";"Weissenstein, Bern - Fussballfeld Weissenstein 1";"Weissenstein";"Bern";"Fussballfeld Weissenstein 1";
"Meisterschaft";"";"Senioren 40+ / MFV / Gruppe  2";"127343";"Fr";"21.08.2026";"18:45";"SC Worb";"Sen.40+";"10328";"C.F. España / Italiana";"Sen.40+";"10336";"Worbboden, Worb - Hauptplatz";"Worbboden";"Worb";"Hauptplatz";
"Turnier Junior*innen E-F-G / Brack play more football";"";"Jun.G";"803017";"Sa";"22.08.2026";"";"Organisator: FC Köniz";"";"";"Teams: FC Muri-Gümligen a1, FC Muri-Gümligen a2, FC Ostermundigen b1, FC Ostermundigen b2, SC Bümpliz 78 b, SC Bümpliz 78 a, FC Prishtina Bern a1, FC Prishtina Bern a2, FC Prishtina Bern a3, FC Prishtina Bern a4, FC Köniz weiss, C.F. España";"";"";"Liebefeld-Hessgut, Liebefeld - Hauptplatz";"Liebefeld-Hessgut";"Liebefeld";"Hauptplatz";
"Turnier Junior*innen E-F-G / Brack play more football";"";"Jun.E Stärkeklasse 3";"802671";"Sa";"22.08.2026";"11:00";"Organisator: C.F. España";"";"";"Teams: C.F. España, FC Breitenrain e, FC Münsingen d, SC Worb d, SC Bümpliz 78 c, FC Sternenberg weiss 1, FC Grosshöchstetten-Schlosswil b, FC Sternenberg weiss 2";"";"";"Weissenstein, Bern - Fussballfeld Weissenstein 3";"Weissenstein";"Bern";"Fussballfeld Weissenstein 3";
"Meisterschaft";"";"Junioren D-7 / MFV - Herbstrunde / Gruppe  5";"137535";"So";"23.08.2026";"09:00";"C.F. España";"Jun.D-7";"10336";"Team Schlossmatt (AS Italiana) b";"Jun.D-7";"10333";"Weissenstein, Bern - Kunstrasenfeld Weissenstein";"Weissenstein";"Bern";"Kunstrasenfeld Weissenstein";
"Meisterschaft";"";"4. Liga / Gruppe  3";"126060";"So";"23.08.2026";"11:00";"C.F. España";"4.";"10336";"FC Zollikofen a";"4.";"10331";"Weissenstein, Bern - Fussballfeld Weissenstein 3";"Weissenstein";"Bern";"Fussballfeld Weissenstein 3";
"Meisterschaft";"";"5. Liga / Gruppe  3";"128433";"So";"23.08.2026";"13:00";"C.F. España";"5.";"10336";"FC Wyler Bern";"5.";"10308";"Weissenstein, Bern - Fussballfeld Weissenstein 3";"Weissenstein";"Bern";"Fussballfeld Weissenstein 3";
"Meisterschaft";"";"Senioren 40+ / MFV / Gruppe  2";"127346";"Mo";"24.08.2026";"19:30";"C.F. España / Italiana";"Sen.40+";"10336";"FC Ostermundigen";"Sen.40+";"10317";"Weissenstein, Bern - Fussballfeld Weissenstein 1";"Weissenstein";"Bern";"Fussballfeld Weissenstein 1";
